Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,77.80595307392889,HealthyTongue,98.41549295774648,0.0,75.1937984496124,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,PeelingCoating,83.27464788732394,28.57142857142857,78.32558139534883,19,71,454,24,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,RedTongue,63.90845070422535,49.631449631449634,81.5065913370998,101,188,262,17,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,PurpleTongue,91.02112676056338,10.526315789473685,58.386948529411754,3,30,514,21,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,ChubbyTongue,46.478873239436616,20.41884816753927,70.8253358925144,39,296,225,8,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,ThinTongue,89.61267605633803,32.18390804597701,83.1841329402305,14,38,495,21,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,RedDot,75.88028169014085,53.55932203389832,84.26923076923077,79,116,352,21,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,Crack,70.24647887323944,58.88077858880778,84.08983451536642,121,145,278,24,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,Toothmark,69.54225352112677,45.7680250783699,74.96630727762803,73,140,322,33,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,FurWhite,70.4225352112676,82.16560509554141,76.42297314660156,387,168,13,0,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,FurYellow,86.09154929577466,58.201058201058196,88.23483730682612,55,55,434,24,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,FurBlack,97.53521126760563,22.22222222222222,78.75828812537674,2,1,552,13,nan,nan,nan,nan,nan,nan,nan
0,77.80595307392889,SmoothCoating,92.95774647887323,4.761904761904762,77.3135302758283,1,30,527,10,nan,nan,nan,nan,nan,nan,nan
1,81.67368301730248,HealthyTongue,98.41549295774648,0.0,75.79010137149672,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
1,81.67368301730248,PeelingCoating,88.02816901408451,39.28571428571428,76.61129568106311,22,47,478,21,nan,nan,nan,nan,nan,nan,nan
1,81.67368301730248,RedTongue,74.64788732394366,54.43037974683544,81.21468926553672,86,112,338,32,nan,nan,nan,nan,nan,nan,nan
