Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,81.65503224385877,HealthyTongue,98.41549295774648,0.0,73.94156231365534,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,PeelingCoating,91.37323943661971,44.9438202247191,85.6124031007752,20,26,499,23,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,RedTongue,79.04929577464789,59.66101694915255,85.38606403013183,88,89,361,30,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,PurpleTongue,93.30985915492957,20.833333333333336,76.07996323529412,5,19,525,19,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,ChubbyTongue,62.147887323943664,26.116838487972515,76.697839670029,38,206,315,9,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,ThinTongue,93.83802816901408,47.76119402985075,89.29509514875367,16,16,517,19,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,RedDot,70.24647887323944,50.72886297376093,85.22863247863248,87,156,312,13,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,Crack,81.51408450704226,68.08510638297872,87.26420477704411,112,72,351,33,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,Toothmark,73.94366197183099,50.66666666666666,79.72923303111983,76,118,344,30,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,FurWhite,72.88732394366197,83.1877729257642,74.127371621911,381,148,33,6,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,FurYellow,83.62676056338029,57.9185520361991,90.17887189045068,64,78,411,15,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,FurBlack,95.77464788732394,14.285714285714288,85.32851115129596,2,11,542,13,nan,nan,nan,nan,nan,nan,nan
0,81.65503224385877,SmoothCoating,87.32394366197182,2.7027027027027026,72.64566672107067,1,62,495,10,nan,nan,nan,nan,nan,nan,nan
1,79.28776692297353,HealthyTongue,98.41549295774648,0.0,79.94434506062413,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
1,79.28776692297353,PeelingCoating,86.09154929577466,35.772357723577244,81.54152823920266,22,58,467,21,nan,nan,nan,nan,nan,nan,nan
