Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,75.90525818100546,TonguePale,82.54504504504504,36.734693877551024,79.04604544461438,45,108,688,47,nan,nan,nan,nan,nan,nan,nan
0,75.90525818100546,TipSideRed,42.68018018018018,59.05068382944489,67.9384406354515,367,508,12,1,nan,nan,nan,nan,nan,nan,nan
0,75.90525818100546,Spot,56.86936936936937,68.05671392827357,81.53894692917953,408,372,97,11,nan,nan,nan,nan,nan,nan,nan
0,75.90525818100546,Ecchymosis,69.93243243243244,23.054755043227665,62.64600859408097,40,225,581,42,nan,nan,nan,nan,nan,nan,nan
0,75.90525818100546,Crack,83.33333333333334,90.89790897908979,69.35470544493101,739,146,1,2,nan,nan,nan,nan,nan,nan,nan
0,75.90525818100546,Toothmark,62.72522522522522,76.20416966211359,76.39086563993627,530,323,27,8,nan,nan,nan,nan,nan,nan,nan
0,75.90525818100546,FurThick,96.84684684684684,98.39816933638444,83.11935110081112,860,25,0,3,nan,nan,nan,nan,nan,nan,nan
0,75.90525818100546,FurYellow,86.14864864864865,61.6822429906542,87.2077016590389,99,70,666,53,nan,nan,nan,nan,nan,nan,nan
1,77.2581865197079,TonguePale,50.33783783783784,25.38071065989848,71.6886060738475,75,424,372,17,nan,nan,nan,nan,nan,nan,nan
1,77.2581865197079,TipSideRed,55.85585585585585,60.6425702811245,68.9511914715719,302,326,194,66,nan,nan,nan,nan,nan,nan,nan
1,77.2581865197079,Spot,61.03603603603604,70.27491408934708,85.80232149854207,409,336,133,10,nan,nan,nan,nan,nan,nan,nan
1,77.2581865197079,Ecchymosis,73.08558558558559,18.43003412969283,60.30230587665678,27,184,622,55,nan,nan,nan,nan,nan,nan,nan
1,77.2581865197079,Crack,83.67117117117117,91.0878918254456,77.06445601182443,741,145,2,0,nan,nan,nan,nan,nan,nan,nan
1,77.2581865197079,Toothmark,67.68018018018019,78.5660941000747,78.21189591078068,526,275,75,12,nan,nan,nan,nan,nan,nan,nan
1,77.2581865197079,FurThick,97.18468468468468,98.57224443175329,86.558516801854,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
1,77.2581865197079,FurYellow,83.44594594594594,62.01550387596898,89.48619851258583,120,115,621,32,nan,nan,nan,nan,nan,nan,nan
2,83.42829998993942,TonguePale,75.33783783783784,40.650406504065046,84.31150316801399,75,202,594,17,nan,nan,nan,nan,nan,nan,nan
2,83.42829998993942,TipSideRed,54.054054054054056,63.24324324324324,76.0576923076923,351,391,129,17,nan,nan,nan,nan,nan,nan,nan
2,83.42829998993942,Spot,61.48648648648649,70.0,84.13422149396217,399,322,147,20,nan,nan,nan,nan,nan,nan,nan
2,83.42829998993942,Ecchymosis,80.96846846846847,31.578947368421055,74.91678266658597,39,126,680,43,nan,nan,nan,nan,nan,nan,nan
2,83.42829998993942,Crack,83.33333333333334,90.90909090909089,83.34664500078033,740,147,0,1,nan,nan,nan,nan,nan,nan,nan
2,83.42829998993942,Toothmark,69.48198198198197,79.63936889556724,83.27296866702072,530,263,87,8,nan,nan,nan,nan,nan,nan,nan
2,83.42829998993942,FurThick,97.18468468468468,98.57224443175329,87.86095017381228,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
2,83.42829998993942,FurYellow,91.21621621621621,74.67532467532467,93.52563644164759,115,41,695,37,nan,nan,nan,nan,nan,nan,nan
3,70.01592723660698,TonguePale,88.62612612612612,5.607476635514018,66.66621149224382,3,12,784,89,nan,nan,nan,nan,nan,nan,nan
3,70.01592723660698,TipSideRed,42.0045045045045,58.700882117081,64.05675167224081,366,513,7,2,nan,nan,nan,nan,nan,nan,nan
3,70.01592723660698,Spot,48.986486486486484,64.85647788983707,74.93168321366235,418,452,17,1,nan,nan,nan,nan,nan,nan,nan
3,70.01592723660698,Ecchymosis,89.63963963963964,2.127659574468085,60.486897052593356,1,11,795,81,nan,nan,nan,nan,nan,nan,nan
3,70.01592723660698,Crack,83.44594594594594,90.97605893186004,73.57955327880138,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
3,70.01592723660698,Toothmark,61.03603603603604,75.59943582510579,72.32342007434944,536,344,6,2,nan,nan,nan,nan,nan,nan,nan
3,70.01592723660698,FurThick,97.18468468468468,98.57224443175329,64.05561993047509,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
