Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,78.0227577325922,TonguePale,69.03153153153153,31.761786600496283,74.08783045663098,64,247,549,28,nan,nan,nan,nan,nan,nan,nan
0,78.0227577325922,TipSideRed,56.64414414414415,61.38415245737211,70.98400919732441,306,323,197,62,nan,nan,nan,nan,nan,nan,nan
0,78.0227577325922,Spot,61.48648648648649,70.2608695652174,82.00202533191526,404,327,142,15,nan,nan,nan,nan,nan,nan,nan
0,78.0227577325922,Ecchymosis,84.34684684684684,21.468926553672315,65.4496762089209,19,76,730,63,nan,nan,nan,nan,nan,nan,nan
0,78.0227577325922,Crack,83.44594594594594,90.97605893186004,79.82043019637004,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
0,78.0227577325922,Toothmark,66.21621621621621,78.00586510263929,79.91556027615508,532,294,56,6,nan,nan,nan,nan,nan,nan,nan
0,78.0227577325922,FurThick,97.18468468468468,98.57224443175329,83.34183082271147,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
0,78.0227577325922,FurYellow,75.90090090090091,54.85232067510548,88.5806993707094,130,192,544,22,nan,nan,nan,nan,nan,nan,nan
1,70.43139923936879,TonguePale,76.57657657657657,28.767123287671232,71.75005462093074,42,158,638,50,nan,nan,nan,nan,nan,nan,nan
1,70.43139923936879,TipSideRed,47.86036036036036,60.12058570198106,69.1926212374582,349,444,76,19,nan,nan,nan,nan,nan,nan,nan
1,70.43139923936879,Spot,63.96396396396396,68.93203883495146,74.04623659744239,355,256,213,64,nan,nan,nan,nan,nan,nan,nan
1,70.43139923936879,Ecchymosis,79.84234234234235,22.51082251082251,60.250862434182665,26,123,683,56,nan,nan,nan,nan,nan,nan,nan
1,70.43139923936879,Crack,83.44594594594594,90.97605893186004,71.23210957797423,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
1,70.43139923936879,Toothmark,61.14864864864865,75.61837455830388,66.74296335634627,535,342,8,3,nan,nan,nan,nan,nan,nan,nan
1,70.43139923936879,FurThick,97.18468468468468,98.57224443175329,70.31286210892237,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
1,70.43139923936879,FurYellow,81.64414414414415,48.580441640378545,79.92348398169337,77,88,648,75,nan,nan,nan,nan,nan,nan,nan
