Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,78.99737186130113,TonguePale,71.28378378378379,29.75206611570248,72.18702206685602,54,217,579,38,nan,nan,nan,nan,nan,nan,nan
0,78.99737186130113,TipSideRed,51.689189189189186,61.24661246612465,71.61266722408027,339,400,120,29,nan,nan,nan,nan,nan,nan,nan
0,78.99737186130113,Spot,68.58108108108108,73.35243553008596,85.39318409656458,384,244,225,35,nan,nan,nan,nan,nan,nan,nan
0,78.99737186130113,Ecchymosis,82.77027027027027,23.115577889447238,68.57108273315984,23,94,712,59,nan,nan,nan,nan,nan,nan,nan
0,78.99737186130113,Crack,86.03603603603604,92.18158890290039,85.45447868756139,731,114,33,10,nan,nan,nan,nan,nan,nan,nan
0,78.99737186130113,Toothmark,68.01801801801803,78.67867867867868,83.12745618693575,524,270,80,14,nan,nan,nan,nan,nan,nan,nan
0,78.99737186130113,FurThick,97.18468468468468,98.57224443175329,73.13093858632678,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
0,78.99737186130113,FurYellow,86.82432432432432,67.94520547945204,92.50214530892448,124,89,647,28,nan,nan,nan,nan,nan,nan,nan
1,82.69742269641822,TonguePale,71.28378378378379,32.71767810026385,78.46569805549487,62,225,571,30,nan,nan,nan,nan,nan,nan,nan
1,82.69742269641822,TipSideRed,48.64864864864865,61.224489795918366,77.68917224080268,360,448,72,8,nan,nan,nan,nan,nan,nan,nan
1,82.69742269641822,Spot,67.68018018018019,73.59705611775529,87.5966230898016,400,268,201,19,nan,nan,nan,nan,nan,nan,nan
1,82.69742269641822,Ecchymosis,79.27927927927928,30.303030303030305,75.47509532167281,40,142,664,42,nan,nan,nan,nan,nan,nan,nan
1,82.69742269641822,Crack,83.44594594594594,90.97605893186004,85.79415571896774,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
1,82.69742269641822,Toothmark,66.32882882882883,78.03085966201323,83.77376526818907,531,292,58,7,nan,nan,nan,nan,nan,nan,nan
1,82.69742269641822,FurThick,97.18468468468468,98.57224443175329,77.45538818076477,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
1,82.69742269641822,FurYellow,88.96396396396396,73.36956521739131,95.32948369565217,135,81,655,17,nan,nan,nan,nan,nan,nan,nan
2,80.4204730264669,TonguePale,58.67117117117117,29.55854126679463,77.53031461656107,77,352,444,15,nan,nan,nan,nan,nan,nan,nan
2,80.4204730264669,TipSideRed,60.24774774774775,64.01630988786953,75.30309364548495,314,299,221,54,nan,nan,nan,nan,nan,nan,nan
2,80.4204730264669,Spot,66.1036036036036,72.05199628597958,83.47115428652849,388,270,199,31,nan,nan,nan,nan,nan,nan,nan
2,80.4204730264669,Ecchymosis,85.13513513513513,25.842696629213485,64.51461598983236,23,73,733,59,nan,nan,nan,nan,nan,nan,nan
2,80.4204730264669,Crack,83.67117117117117,91.0878918254456,81.11854728396082,741,145,2,0,nan,nan,nan,nan,nan,nan,nan
2,80.4204730264669,Toothmark,61.82432432432432,75.83749109052032,79.67657992565056,532,333,17,6,nan,nan,nan,nan,nan,nan,nan
2,80.4204730264669,FurThick,97.18468468468468,98.57224443175329,88.56083429895712,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
2,80.4204730264669,FurYellow,85.6981981981982,67.3521850899743,93.18864416475972,131,106,630,21,nan,nan,nan,nan,nan,nan,nan
3,82.1526820278391,TonguePale,74.09909909909909,34.659090909090914,76.23989512781299,61,199,597,31,nan,nan,nan,nan,nan,nan,nan
3,82.1526820278391,TipSideRed,64.75225225225225,65.10590858416944,75.86015886287626,292,237,283,76,nan,nan,nan,nan,nan,nan,nan
3,82.1526820278391,Spot,75.0,77.3006134969325,87.22565149024737,378,181,288,41,nan,nan,nan,nan,nan,nan,nan
3,82.1526820278391,Ecchymosis,84.7972972972973,26.22950819672131,70.925376747564,24,77,729,58,nan,nan,nan,nan,nan,nan,nan
3,82.1526820278391,Crack,84.57207207207207,91.48539465506526,85.00922636260981,736,132,15,5,nan,nan,nan,nan,nan,nan,nan
3,82.1526820278391,Toothmark,64.63963963963964,77.2463768115942,80.23685608072225,533,309,41,5,nan,nan,nan,nan,nan,nan,nan
3,82.1526820278391,FurThick,97.2972972972973,98.62542955326461,89.05677867902665,861,22,3,2,nan,nan,nan,nan,nan,nan,nan
3,82.1526820278391,FurYellow,85.36036036036036,67.00507614213198,92.66751287185355,132,110,626,20,nan,nan,nan,nan,nan,nan,nan
4,77.95965826249733,TonguePale,51.126126126126124,27.424749163879603,76.37644745466463,82,424,372,10,nan,nan,nan,nan,nan,nan,nan
4,77.95965826249733,TipSideRed,54.166666666666664,61.34852801519468,70.53616220735786,323,362,158,45,nan,nan,nan,nan,nan,nan,nan
4,77.95965826249733,Spot,59.23423423423423,69.26994906621393,81.27611176982458,408,351,118,11,nan,nan,nan,nan,nan,nan,nan
4,77.95965826249733,Ecchymosis,83.1081081081081,11.76470588235294,65.04266779640501,10,78,728,72,nan,nan,nan,nan,nan,nan,nan
4,77.95965826249733,Crack,83.67117117117117,91.05490438001233,68.79469736612593,738,142,5,3,nan,nan,nan,nan,nan,nan,nan
4,77.95965826249733,Toothmark,64.75225225225225,77.26942628903414,80.22889006903875,532,307,43,6,nan,nan,nan,nan,nan,nan,nan
4,77.95965826249733,FurThick,97.18468468468468,98.57224443175329,91.08690614136734,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
4,77.95965826249733,FurYellow,90.09009009009009,71.24183006535945,90.33538329519452,109,45,691,43,nan,nan,nan,nan,nan,nan,nan
5,83.23379483822015,TonguePale,80.74324324324324,35.955056179775276,77.35416211492245,48,127,669,44,nan,nan,nan,nan,nan,nan,nan
5,83.23379483822015,TipSideRed,50.0,61.45833333333333,76.74383361204013,354,430,90,14,nan,nan,nan,nan,nan,nan,nan
5,83.23379483822015,Spot,61.373873873873876,70.70879590093936,88.74210603986545,414,338,131,5,nan,nan,nan,nan,nan,nan,nan
5,83.23379483822015,Ecchymosis,86.71171171171171,30.58823529411765,73.64128790171276,26,62,744,56,nan,nan,nan,nan,nan,nan,nan
5,83.23379483822015,Crack,83.44594594594594,90.97605893186004,84.52403903531723,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
5,83.23379483822015,Toothmark,66.66666666666666,78.00891530460625,85.26287838555497,525,283,67,13,nan,nan,nan,nan,nan,nan,nan
5,83.23379483822015,FurThick,97.18468468468468,98.57224443175329,86.34994206257241,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
5,83.23379483822015,FurYellow,90.87837837837837,74.12140575079874,93.25210955377575,116,45,691,36,nan,nan,nan,nan,nan,nan,nan
6,76.8015275157486,TonguePale,85.58558558558559,30.434782608695656,74.7501092418615,28,64,732,64,nan,nan,nan,nan,nan,nan,nan
6,76.8015275157486,TipSideRed,43.24324324324324,58.34710743801652,73.75679347826086,353,489,31,15,nan,nan,nan,nan,nan,nan,nan
6,76.8015275157486,Spot,67.0045045045045,73.38782924613987,80.87893298593973,404,278,191,15,nan,nan,nan,nan,nan,nan,nan
6,76.8015275157486,Ecchymosis,77.7027027027027,29.28571428571429,67.16849240452703,41,157,649,41,nan,nan,nan,nan,nan,nan,nan
6,76.8015275157486,Crack,82.9954954954955,90.7076923076923,74.65274908883931,737,147,0,4,nan,nan,nan,nan,nan,nan,nan
6,76.8015275157486,Toothmark,64.1891891891892,77.05627705627707,78.493892724376,534,314,36,4,nan,nan,nan,nan,nan,nan,nan
6,76.8015275157486,FurThick,97.18468468468468,98.57224443175329,81.33024333719584,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
6,76.8015275157486,FurYellow,75.56306306306307,54.12262156448202,83.38100686498858,128,193,543,24,nan,nan,nan,nan,nan,nan,nan
7,77.35555666141633,TonguePale,82.0945945945946,35.102040816326536,73.83384312868692,43,110,686,49,nan,nan,nan,nan,nan,nan,nan
7,77.35555666141633,TipSideRed,43.01801801801802,58.52459016393442,71.6189381270903,357,495,25,11,nan,nan,nan,nan,nan,nan,nan
7,77.35555666141633,Spot,50.33783783783784,64.11716842961756,80.31204360061268,394,416,53,25,nan,nan,nan,nan,nan,nan,nan
7,77.35555666141633,Ecchymosis,70.72072072072072,26.136363636363637,68.41221327846033,46,224,582,36,nan,nan,nan,nan,nan,nan,nan
7,77.35555666141633,Crack,83.22072072072072,90.78540507111936,75.4037107420566,734,142,5,7,nan,nan,nan,nan,nan,nan,nan
7,77.35555666141633,Toothmark,62.95045045045045,76.4832022873481,78.45565586829525,535,326,24,3,nan,nan,nan,nan,nan,nan,nan
7,77.35555666141633,FurThick,97.18468468468468,98.57224443175329,77.86790266512168,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
7,77.35555666141633,FurYellow,79.95495495495496,61.637931034482754,92.94014588100687,143,169,567,9,nan,nan,nan,nan,nan,nan,nan
8,69.90330652494949,TonguePale,41.891891891891895,21.81818181818182,57.71110989731265,72,496,300,20,nan,nan,nan,nan,nan,nan,nan
8,69.90330652494949,TipSideRed,49.66216216216216,61.231569817866436,67.94471153846153,353,432,88,15,nan,nan,nan,nan,nan,nan,nan
8,69.90330652494949,Spot,60.02252252252253,69.47549441100603,82.44118649846574,404,340,129,15,nan,nan,nan,nan,nan,nan,nan
8,69.90330652494949,Ecchymosis,76.01351351351352,20.224719101123597,62.59153906675543,27,158,648,55,nan,nan,nan,nan,nan,nan,nan
8,69.90330652494949,Crack,83.55855855855856,91.03194103194102,61.727579020812094,741,146,1,0,nan,nan,nan,nan,nan,nan,nan
