Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,75.42394668679671,TonguePale,86.71171171171171,32.95454545454546,74.00453353725148,29,55,741,63,nan,nan,nan,nan,nan,nan,nan
0,75.42394668679671,TipSideRed,46.05855855855856,59.23404255319148,66.75010451505017,348,459,61,20,nan,nan,nan,nan,nan,nan,nan
0,75.42394668679671,Spot,64.97747747747748,71.75295186194369,83.72355745988774,395,287,182,24,nan,nan,nan,nan,nan,nan,nan
0,75.42394668679671,Ecchymosis,78.490990990991,23.29317269076305,62.968286630757135,29,138,668,53,nan,nan,nan,nan,nan,nan,nan
0,75.42394668679671,Crack,83.44594594594594,90.97605893186004,66.81171793953749,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
0,75.42394668679671,Toothmark,68.46846846846847,78.12499999999999,74.6542750929368,500,242,108,38,nan,nan,nan,nan,nan,nan,nan
0,75.42394668679671,FurThick,97.18468468468468,98.57224443175329,83.94438006952491,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
0,75.42394668679671,FurYellow,89.86486486486487,66.66666666666666,90.53471824942791,90,28,708,62,nan,nan,nan,nan,nan,nan,nan
1,73.25210831556122,TonguePale,75.0,24.489795918367346,63.84640594275726,36,166,630,56,nan,nan,nan,nan,nan,nan,nan
1,73.25210831556122,TipSideRed,46.62162162162162,58.854166666666664,65.79013377926421,339,445,75,29,nan,nan,nan,nan,nan,nan,nan
1,73.25210831556122,Spot,51.238738738738746,65.66217287866772,83.2849051707029,414,428,41,5,nan,nan,nan,nan,nan,nan,nan
1,73.25210831556122,Ecchymosis,75.90090090090091,16.40625,62.061974217757076,21,153,653,61,nan,nan,nan,nan,nan,nan,nan
1,73.25210831556122,Crack,83.44594594594594,90.97605893186004,67.25880635655072,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
1,73.25210831556122,Toothmark,64.75225225225225,76.83197631384161,75.78916622411047,519,294,56,19,nan,nan,nan,nan,nan,nan,nan
1,73.25210831556122,FurThick,97.18468468468468,98.57224443175329,82.22943221320975,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
1,73.25210831556122,FurYellow,83.78378378378379,61.49732620320856,85.7560426201373,115,107,629,37,nan,nan,nan,nan,nan,nan,nan
2,79.97761846055566,TonguePale,68.69369369369369,27.979274611398967,69.1801398295827,54,240,556,38,nan,nan,nan,nan,nan,nan,nan
2,79.97761846055566,TipSideRed,55.74324324324324,62.67806267806269,74.97491638795988,330,355,165,38,nan,nan,nan,nan,nan,nan,nan
2,79.97761846055566,Spot,74.54954954954955,77.35470941883766,88.27088559927944,386,193,276,33,nan,nan,nan,nan,nan,nan,nan
2,79.97761846055566,Ecchymosis,82.77027027027027,26.08695652173913,67.97948314470739,27,98,708,55,nan,nan,nan,nan,nan,nan,nan
2,79.97761846055566,Crack,83.78378378378379,91.10012360939432,80.39237287357588,737,140,7,4,nan,nan,nan,nan,nan,nan,nan
2,79.97761846055566,Toothmark,70.04504504504504,79.72560975609755,84.67392458842274,523,251,99,15,nan,nan,nan,nan,nan,nan,nan
2,79.97761846055566,FurThick,97.18468468468468,98.57224443175329,81.96060254924681,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
2,79.97761846055566,FurYellow,87.72522522522522,68.94586894586895,92.3886227116705,121,78,658,31,nan,nan,nan,nan,nan,nan,nan
3,77.12697847015941,TonguePale,60.810810810810814,28.97959183673469,73.33679265894692,71,327,469,21,nan,nan,nan,nan,nan,nan,nan
3,77.12697847015941,TipSideRed,51.126126126126124,60.68840579710144,71.95181856187291,335,401,119,33,nan,nan,nan,nan,nan,nan,nan
3,77.12697847015941,Spot,72.74774774774775,75.0,84.56574950002799,363,186,283,56,nan,nan,nan,nan,nan,nan,nan
3,77.12697847015941,Ecchymosis,90.31531531531532,8.51063829787234,60.269018943291165,4,8,798,78,nan,nan,nan,nan,nan,nan,nan
3,77.12697847015941,Crack,83.78378378378379,91.0891089108911,79.30724246513721,736,139,8,5,nan,nan,nan,nan,nan,nan,nan
3,77.12697847015941,Toothmark,64.41441441441441,77.06821480406386,82.98725438130643,531,309,41,7,nan,nan,nan,nan,nan,nan,nan
3,77.12697847015941,FurThick,97.18468468468468,98.57224443175329,73.95596755504056,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
3,77.12697847015941,FurYellow,84.90990990990991,64.73684210526315,90.64198369565217,123,105,631,29,nan,nan,nan,nan,nan,nan,nan
4,80.82095811252972,TonguePale,81.41891891891892,36.293436293436294,79.0146384094385,47,120,676,45,nan,nan,nan,nan,nan,nan,nan
4,80.82095811252972,TipSideRed,47.97297297297297,61.11111111111111,77.17704849498328,363,457,63,5,nan,nan,nan,nan,nan,nan,nan
4,80.82095811252972,Spot,58.55855855855856,69.2821368948247,88.73650838884338,415,364,105,4,nan,nan,nan,nan,nan,nan,nan
4,80.82095811252972,Ecchymosis,83.8963963963964,20.994475138121548,66.69188404042849,19,80,726,63,nan,nan,nan,nan,nan,nan,nan
