Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,80.61141193842136,TonguePale,50.112612612612615,25.795644891122276,73.54981428883548,77,428,368,15,nan,nan,nan,nan,nan,nan,nan
0,80.61141193842136,TipSideRed,49.88738738738739,60.79295154185023,72.42213628762542,345,422,98,23,nan,nan,nan,nan,nan,nan,nan
0,80.61141193842136,Spot,71.62162162162163,74.749498997996,85.44050969156942,373,206,263,46,nan,nan,nan,nan,nan,nan,nan
0,80.61141193842136,Ecchymosis,76.8018018018018,29.45205479452055,67.79035284149367,43,167,639,39,nan,nan,nan,nan,nan,nan,nan
0,80.61141193842136,Crack,84.57207207207207,91.42141515341264,79.57163972201566,730,126,21,11,nan,nan,nan,nan,nan,nan,nan
0,80.61141193842136,Toothmark,69.93243243243244,79.35034802784224,82.07434944237919,513,242,108,25,nan,nan,nan,nan,nan,nan,nan
0,80.61141193842136,FurThick,97.18468468468468,98.57224443175329,89.74275782155271,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
0,80.61141193842136,FurYellow,86.82432432432432,69.61038961038962,94.29973541189932,134,99,637,18,nan,nan,nan,nan,nan,nan,nan
1,68.16244637201476,TonguePale,84.009009009009,24.46808510638298,57.1771902993227,23,73,723,69,nan,nan,nan,nan,nan,nan,nan
1,68.16244637201476,TipSideRed,50.0,60.7079646017699,69.08235785953177,343,419,101,25,nan,nan,nan,nan,nan,nan,nan
1,68.16244637201476,Spot,62.95045045045045,71.0642040457344,84.99778638345946,404,314,155,15,nan,nan,nan,nan,nan,nan,nan
1,68.16244637201476,Ecchymosis,63.4009009009009,16.87979539641944,57.39575137686861,33,276,530,49,nan,nan,nan,nan,nan,nan,nan
1,68.16244637201476,Crack,83.44594594594594,90.9426987060998,62.10305984742075,738,144,3,3,nan,nan,nan,nan,nan,nan,nan
1,68.16244637201476,Toothmark,56.30630630630631,64.85507246376812,63.7392458842273,358,208,142,180,nan,nan,nan,nan,nan,nan,nan
1,68.16244637201476,FurThick,96.95945945945947,98.45626072041166,58.15990730011589,861,25,0,2,nan,nan,nan,nan,nan,nan,nan
1,68.16244637201476,FurYellow,87.95045045045045,70.68493150684932,92.64427202517163,129,84,652,23,nan,nan,nan,nan,nan,nan,nan
2,81.88459010449898,TonguePale,70.15765765765765,34.5679012345679,81.21313087175005,70,243,553,22,nan,nan,nan,nan,nan,nan,nan
2,81.88459010449898,TipSideRed,62.04954954954955,64.78578892371996,75.42955685618729,310,279,241,58,nan,nan,nan,nan,nan,nan,nan
2,81.88459010449898,Spot,67.7927927927928,73.06967984934087,85.34076972790328,388,255,214,31,nan,nan,nan,nan,nan,nan,nan
2,81.88459010449898,Ecchymosis,78.04054054054053,29.09090909090909,73.03607093142891,40,153,653,42,nan,nan,nan,nan,nan,nan,nan
2,81.88459010449898,Crack,83.55855855855856,91.02091020910208,84.29131436650233,740,145,2,1,nan,nan,nan,nan,nan,nan,nan
2,81.88459010449898,Toothmark,68.01801801801803,78.64661654135338,82.18321826872013,523,269,81,15,nan,nan,nan,nan,nan,nan,nan
2,81.88459010449898,FurThick,97.18468468468468,98.57224443175329,80.94553881807647,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
2,81.88459010449898,FurYellow,86.26126126126125,67.20430107526883,92.63712099542334,125,95,641,27,nan,nan,nan,nan,nan,nan,nan
3,79.0821256962714,TonguePale,74.09909909909909,29.447852760736193,72.08870439152284,48,186,610,44,nan,nan,nan,nan,nan,nan,nan
3,79.0821256962714,TipSideRed,42.45495495495496,59.02165196471532,76.1042015050167,368,511,9,0,nan,nan,nan,nan,nan,nan,nan
3,79.0821256962714,Spot,61.82432432432432,70.7000864304235,86.18652390960303,409,329,140,10,nan,nan,nan,nan,nan,nan,nan
3,79.0821256962714,Ecchymosis,79.05405405405406,30.597014925373134,69.96762089208981,41,145,661,41,nan,nan,nan,nan,nan,nan,nan
3,79.0821256962714,Crack,83.44594594594594,90.97605893186004,81.63999742947112,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
3,79.0821256962714,Toothmark,68.01801801801803,78.83755588673621,84.35661178969728,529,275,75,9,nan,nan,nan,nan,nan,nan,nan
3,79.0821256962714,FurThick,97.18468468468468,98.57224443175329,70.50753186558516,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
3,79.0821256962714,FurYellow,82.77027027027027,62.95399515738498,91.80581378718536,130,131,605,22,nan,nan,nan,nan,nan,nan,nan
4,77.25986835136081,TonguePale,62.04954954954955,30.22774327122153,71.09323792877431,73,318,478,19,nan,nan,nan,nan,nan,nan,nan
4,77.25986835136081,TipSideRed,49.66216216216216,61.76218990590249,72.98181438127091,361,440,80,7,nan,nan,nan,nan,nan,nan,nan
4,77.25986835136081,Spot,58.8963963963964,69.04156064461408,79.46069176789085,407,353,116,12,nan,nan,nan,nan,nan,nan,nan
4,77.25986835136081,Ecchymosis,84.57207207207207,30.456852791878177,68.27755250257218,30,85,721,52,nan,nan,nan,nan,nan,nan,nan
4,77.25986835136081,Crack,81.08108108108108,89.13324708926262,78.57096954841315,689,116,31,52,nan,nan,nan,nan,nan,nan,nan
4,77.25986835136081,Toothmark,71.3963963963964,79.6474358974359,79.66330323951141,497,213,137,41,nan,nan,nan,nan,nan,nan,nan
4,77.25986835136081,FurThick,97.18468468468468,98.57224443175329,81.11239860950174,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
4,77.25986835136081,FurYellow,83.1081081081081,59.01639344262294,86.91897883295195,108,106,630,44,nan,nan,nan,nan,nan,nan,nan
5,74.1729604110309,TonguePale,80.74324324324324,36.90036900369003,74.9494756390649,50,129,667,42,nan,nan,nan,nan,nan,nan,nan
5,74.1729604110309,TipSideRed,57.54504504504504,63.92344497607656,73.73693561872909,334,343,177,34,nan,nan,nan,nan,nan,nan,nan
5,74.1729604110309,Spot,67.45495495495496,72.65846736045413,78.81645302298598,384,254,215,35,nan,nan,nan,nan,nan,nan,nan
5,74.1729604110309,Ecchymosis,88.73873873873875,18.0327868852459,61.74347878714519,11,29,777,71,nan,nan,nan,nan,nan,nan,nan
