训练开始时间: 2026-04-18 21:31:11
模型保存路径: paper_ablation_best_model_backbone_ITDD_resnet34_seed3_e30_20260418_101444.pth
设备: cuda  学习率: 3.0924881624801156e-05  Epochs: 30  Loss: asl
----------------------------------------------------------------------------------------------------
Epoch 001/030 | train_loss=0.055024 | val_loss=0.051153 | train_auc=0.726736 | val_auc=0.819092 | lr=3.0924882e-05 | best_val_auc=0.819092 | best_epoch=1
Epoch 002/030 | train_loss=0.044073 | val_loss=0.048712 | train_auc=0.853102 | val_auc=0.823520 | lr=3.0924882e-05 | best_val_auc=0.823520 | best_epoch=2
Epoch 003/030 | train_loss=0.038890 | val_loss=0.048497 | train_auc=0.901322 | val_auc=0.846166 | lr=3.0924882e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 004/030 | train_loss=0.034987 | val_loss=0.050330 | train_auc=0.922971 | val_auc=0.839086 | lr=3.0924882e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 005/030 | train_loss=0.031871 | val_loss=0.052438 | train_auc=0.941183 | val_auc=0.834567 | lr=3.0924882e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 006/030 | train_loss=0.028460 | val_loss=0.054173 | train_auc=0.949473 | val_auc=0.843274 | lr=3.0924882e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 007/030 | train_loss=0.026357 | val_loss=0.062652 | train_auc=0.955769 | val_auc=0.822111 | lr=3.0924882e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 008/030 | train_loss=0.024073 | val_loss=0.065096 | train_auc=0.969417 | val_auc=0.813411 | lr=3.0924882e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 009/030 | train_loss=0.022848 | val_loss=0.072128 | train_auc=0.968661 | val_auc=0.801982 | lr=1.5462441e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 010/030 | train_loss=0.018306 | val_loss=0.076904 | train_auc=0.983140 | val_auc=0.795609 | lr=1.5462441e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 011/030 | train_loss=0.015827 | val_loss=0.079782 | train_auc=0.987563 | val_auc=0.794356 | lr=1.5462441e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 012/030 | train_loss=0.014418 | val_loss=0.087338 | train_auc=0.988485 | val_auc=0.793487 | lr=1.5462441e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 013/030 | train_loss=0.014005 | val_loss=0.089485 | train_auc=0.990037 | val_auc=0.796158 | lr=1.5462441e-05 | best_val_auc=0.846166 | best_epoch=3
Epoch 014/030 | train_loss=0.012807 | val_loss=0.094597 | train_auc=0.991590 | val_auc=0.795533 | lr=1.5462441e-05 | best_val_auc=0.846166 | best_epoch=3
