训练开始时间: 2026-04-18 16:09:43
模型保存路径: paper_ablation_best_model_backbone_TongueDx_googlenet_seed3_e30_20260418_101444.pth
设备: cuda  学习率: 3.68367709731998e-05  Epochs: 30  Loss: asl
----------------------------------------------------------------------------------------------------
Epoch 001/030 | train_loss=0.102943 | val_loss=0.086222 | train_auc=0.626273 | val_auc=0.722819 | lr=3.6836771e-05 | best_val_auc=0.722819 | best_epoch=1
Epoch 002/030 | train_loss=0.080738 | val_loss=0.086191 | train_auc=0.748698 | val_auc=0.766234 | lr=3.6836771e-05 | best_val_auc=0.766234 | best_epoch=2
Epoch 003/030 | train_loss=0.072950 | val_loss=0.079027 | train_auc=0.798432 | val_auc=0.811028 | lr=3.6836771e-05 | best_val_auc=0.811028 | best_epoch=3
Epoch 004/030 | train_loss=0.067839 | val_loss=0.072670 | train_auc=0.830592 | val_auc=0.815412 | lr=3.6836771e-05 | best_val_auc=0.815412 | best_epoch=4
Epoch 005/030 | train_loss=0.062291 | val_loss=0.073810 | train_auc=0.867752 | val_auc=0.810725 | lr=3.6836771e-05 | best_val_auc=0.815412 | best_epoch=4
Epoch 006/030 | train_loss=0.057020 | val_loss=0.071990 | train_auc=0.894171 | val_auc=0.810736 | lr=3.6836771e-05 | best_val_auc=0.815412 | best_epoch=6
Epoch 007/030 | train_loss=0.054590 | val_loss=0.075010 | train_auc=0.903910 | val_auc=0.810664 | lr=3.6836771e-05 | best_val_auc=0.815412 | best_epoch=6
Epoch 008/030 | train_loss=0.050138 | val_loss=0.087298 | train_auc=0.921674 | val_auc=0.810227 | lr=3.6836771e-05 | best_val_auc=0.815412 | best_epoch=6
Epoch 009/030 | train_loss=0.046564 | val_loss=0.088140 | train_auc=0.932740 | val_auc=0.809343 | lr=3.6836771e-05 | best_val_auc=0.815412 | best_epoch=6
Epoch 010/030 | train_loss=0.044677 | val_loss=0.109964 | train_auc=0.939880 | val_auc=0.803488 | lr=3.6836771e-05 | best_val_auc=0.815412 | best_epoch=6
Epoch 011/030 | train_loss=0.039792 | val_loss=0.111528 | train_auc=0.954421 | val_auc=0.807848 | lr=3.6836771e-05 | best_val_auc=0.815412 | best_epoch=6
Epoch 012/030 | train_loss=0.037448 | val_loss=0.123345 | train_auc=0.960686 | val_auc=0.798782 | lr=1.8418385e-05 | best_val_auc=0.815412 | best_epoch=6
Epoch 013/030 | train_loss=0.031125 | val_loss=0.120273 | train_auc=0.973831 | val_auc=0.798183 | lr=1.8418385e-05 | best_val_auc=0.815412 | best_epoch=6
