训练开始时间: 2026-04-18 12:19:50
模型保存路径: paper_ablation_best_model_backbone_TongueDx_resnet34_seed3_e30_20260418_101444.pth
设备: cuda  学习率: 2.1180964707011026e-05  Epochs: 30  Loss: asl
----------------------------------------------------------------------------------------------------
Epoch 001/030 | train_loss=0.090434 | val_loss=0.079698 | train_auc=0.683172 | val_auc=0.782483 | lr=2.1180965e-05 | best_val_auc=0.782483 | best_epoch=1
Epoch 002/030 | train_loss=0.072996 | val_loss=0.074579 | train_auc=0.794072 | val_auc=0.807032 | lr=2.1180965e-05 | best_val_auc=0.807032 | best_epoch=2
Epoch 003/030 | train_loss=0.065202 | val_loss=0.075292 | train_auc=0.844309 | val_auc=0.818502 | lr=2.1180965e-05 | best_val_auc=0.818502 | best_epoch=3
Epoch 004/030 | train_loss=0.058887 | val_loss=0.074058 | train_auc=0.878983 | val_auc=0.823859 | lr=2.1180965e-05 | best_val_auc=0.823859 | best_epoch=4
Epoch 005/030 | train_loss=0.054175 | val_loss=0.074478 | train_auc=0.904536 | val_auc=0.831375 | lr=2.1180965e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 006/030 | train_loss=0.048565 | val_loss=0.076665 | train_auc=0.924277 | val_auc=0.821839 | lr=2.1180965e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 007/030 | train_loss=0.044443 | val_loss=0.077486 | train_auc=0.941678 | val_auc=0.815583 | lr=2.1180965e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 008/030 | train_loss=0.040414 | val_loss=0.086029 | train_auc=0.952670 | val_auc=0.812698 | lr=2.1180965e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 009/030 | train_loss=0.036088 | val_loss=0.086545 | train_auc=0.962102 | val_auc=0.812129 | lr=2.1180965e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 010/030 | train_loss=0.032323 | val_loss=0.088600 | train_auc=0.971218 | val_auc=0.810408 | lr=1.0590482e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 011/030 | train_loss=0.026394 | val_loss=0.090608 | train_auc=0.982955 | val_auc=0.813176 | lr=1.0590482e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 012/030 | train_loss=0.021816 | val_loss=0.099003 | train_auc=0.988623 | val_auc=0.813549 | lr=1.0590482e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 013/030 | train_loss=0.019830 | val_loss=0.104663 | train_auc=0.990534 | val_auc=0.810729 | lr=1.0590482e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 014/030 | train_loss=0.018238 | val_loss=0.105654 | train_auc=0.991812 | val_auc=0.814768 | lr=1.0590482e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 015/030 | train_loss=0.017969 | val_loss=0.105574 | train_auc=0.992794 | val_auc=0.816273 | lr=1.0590482e-05 | best_val_auc=0.831375 | best_epoch=5
Epoch 016/030 | train_loss=0.016376 | val_loss=0.113036 | train_auc=0.993455 | val_auc=0.813660 | lr=5.2952412e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 017/030 | train_loss=0.013816 | val_loss=0.108281 | train_auc=0.995921 | val_auc=0.816903 | lr=5.2952412e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 018/030 | train_loss=0.012665 | val_loss=0.112968 | train_auc=0.996451 | val_auc=0.818049 | lr=5.2952412e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 019/030 | train_loss=0.012166 | val_loss=0.114154 | train_auc=0.996978 | val_auc=0.812927 | lr=5.2952412e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 020/030 | train_loss=0.012514 | val_loss=0.116236 | train_auc=0.996512 | val_auc=0.814143 | lr=5.2952412e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 021/030 | train_loss=0.010246 | val_loss=0.117533 | train_auc=0.997757 | val_auc=0.815409 | lr=5.2952412e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 022/030 | train_loss=0.010414 | val_loss=0.117613 | train_auc=0.997794 | val_auc=0.813658 | lr=2.6476206e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 023/030 | train_loss=0.009445 | val_loss=0.119139 | train_auc=0.998300 | val_auc=0.816755 | lr=2.6476206e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 024/030 | train_loss=0.009556 | val_loss=0.119680 | train_auc=0.998032 | val_auc=0.806577 | lr=2.6476206e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 025/030 | train_loss=0.008899 | val_loss=0.118988 | train_auc=0.998311 | val_auc=0.813978 | lr=2.6476206e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 026/030 | train_loss=0.008539 | val_loss=0.120588 | train_auc=0.998496 | val_auc=0.814861 | lr=2.6476206e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 027/030 | train_loss=0.009032 | val_loss=0.122235 | train_auc=0.998265 | val_auc=0.811314 | lr=2.6476206e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 028/030 | train_loss=0.008105 | val_loss=0.123016 | train_auc=0.998673 | val_auc=0.810312 | lr=1.3238103e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 029/030 | train_loss=0.008775 | val_loss=0.120954 | train_auc=0.998021 | val_auc=0.811809 | lr=1.3238103e-06 | best_val_auc=0.831375 | best_epoch=5
Epoch 030/030 | train_loss=0.007850 | val_loss=0.121941 | train_auc=0.998835 | val_auc=0.814194 | lr=1.3238103e-06 | best_val_auc=0.831375 | best_epoch=5
----------------------------------------------------------------------------------------------------
训练结束时间: 2026-04-18 12:33:18
Best Val AUC: 0.831375  Best Epoch: 5
